"product_id","product_variant_name","pmi_product_family","pmi_product_category","brand_tier","pack_size","nicotine_format"
"FUR-ADV-10000002","ONP-VAR-341627","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-ADV-10000108","ONP-VAR-069610","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-ADV-10000183","ONP-VAR-781156","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-ADV-10000188","ONP-VAR-151864","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-ADV-10000190","ONP-VAR-438562","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-ADV-10000571","ONP-VAR-748859","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-ADV-10000600","ONP-VAR-713277","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-ADV-10000847","ONP-VAR-872997","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-ADV-10001283","ONP-VAR-521410","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-ADV-10001440","ONP-VAR-123767","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-ADV-10001659","ONP-VAR-810035","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-ADV-10001855","ONP-VAR-216680","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-ADV-10002329","ONP-VAR-080103","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-ADV-10002601","ONP-VAR-787620","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-ADV-10002632","ONP-VAR-255135","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-ADV-10002889","ONP-VAR-918523","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-ADV-10003147","ONP-VAR-416067","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-ADV-10003326","ONP-VAR-526445","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-ADV-10004159","ONP-VAR-372006","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-ADV-10004223","ONP-VAR-028136","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-ADV-10004395","ONP-VAR-564180","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-ADV-10004499","ONP-VAR-345905","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-ADV-10004718","ONP-VAR-075091","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-ADV-10004971","ONP-VAR-577333","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BAR-10000560","ONP-VAR-780310","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BAR-10000831","ONP-VAR-204906","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BAR-10000946","ONP-VAR-379723","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BAR-10001039","ONP-VAR-588091","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BAR-10002449","ONP-VAR-972938","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BAR-10002710","ONP-VAR-746641","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BAR-10003465","ONP-VAR-083221","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BAR-10003532","ONP-VAR-077579","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BAR-10003576","ONP-VAR-551526","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BAR-10004434","ONP-VAR-871028","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BAR-10004553","ONP-VAR-549526","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BAR-10004561","ONP-VAR-603046","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BAR-10004682","ONP-VAR-594458","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BEV-10000326","ONP-VAR-927193","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BEV-10000388","ONP-VAR-527591","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BEV-10001048","ONP-VAR-815290","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BEV-10001217","ONP-VAR-818081","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BEV-10001853","ONP-VAR-556923","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BEV-10002193","ONP-VAR-055915","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BEV-10002369","ONP-VAR-151932","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BEV-10002803","ONP-VAR-115950","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BEV-10003414","ONP-VAR-075280","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BEV-10004805","ONP-VAR-506418","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BEV-10004919","ONP-VAR-470354","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10000002","ONP-VAR-238100","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10000008","ONP-VAR-479313","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000021","ONP-VAR-394141","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
