"country_id","operating_country","macro_region"
64,"United States","US"
65,"France","EU"
66,"Germany","EU"
67,"El Salvador","LATAM"
68,"Guatemala","LATAM"
69,"Austria","EMEA"
70,"Nicaragua","LATAM"
71,"Belgium","EU"
72,"Switzerland","EU"
73,"Italy","EU"
74,"South Africa","Africa"
75,"India","APAC"
76,"Hong Kong","APAC"
77,"Democratic Republic of the Congo","Africa"
78,"Cuba","LATAM"
79,"United Kingdom","EU"
80,"Spain","EU"
81,"Russia","EMEA"
82,"China","APAC"
83,"Niger","Africa"
84,"Qatar","EMEA"
85,"New Zealand","APAC"
86,"Mexico","LATAM"
87,"Malaysia","APAC"
88,"Poland","EMEA"
89,"Madagascar","Africa"
90,"Iraq","EMEA"
91,"Brazil","LATAM"
92,"Colombia","LATAM"
93,"Saudi Arabia","EMEA"
94,"Egypt","Africa"
95,"Iran","EMEA"
96,"Ukraine","EMEA"
97,"Japan","APAC"
98,"Morocco","Africa"
99,"Cameroon","Africa"
100,"Chile","LATAM"
101,"Ghana","Africa"
102,"Trinidad and Tobago","LATAM"
103,"Canada","Canada"
104,"Chad","Africa"
105,"Kenya","Africa"
106,"Bangladesh","APAC"
107,"Bulgaria","EMEA"
108,"Djibouti","Africa"
109,"Uruguay","LATAM"
110,"Singapore","APAC"
111,"Czech Republic","EMEA"
112,"Zambia","Africa"
113,"Bolivia","LATAM"
114,"Angola","Africa"
115,"Australia","APAC"
116,"Tanzania","Africa"
117,"Norway","EU"
118,"Sierra Leone","Africa"
119,"Hungary","EMEA"
120,"Ecuador","LATAM"
121,"Finland","EU"
122,"Afghanistan","APAC"
123,"Uzbekistan","EMEA"
124,"Romania","EMEA"
125,"Kyrgyzstan","EMEA"
126,"Belarus","EMEA"
127,"Mongolia","APAC"
128,"Georgia","EMEA"
129,"Syria","EMEA"
130,"Croatia","EMEA"
131,"Israel","EMEA"
132,"Liberia","Africa"
133,"Guinea-Bissau","Africa"
134,"Somalia","Africa"
135,"Senegal","Africa"
136,"Tunisia","Africa"
137,"Mali","Africa"
138,"Algeria","Africa"
139,"Benin","Africa"
140,"Ethiopia","Africa"
141,"Libya","Africa"
142,"Mozambique","Africa"
143,"Guadeloupe","LATAM"
144,"Jordan","EMEA"
145,"Togo","Africa"
146,"Cote d'Ivoire","Africa"
147,"Taiwan","APAC"
148,"Jamaica","LATAM"
149,"Cambodia","APAC"
150,"Azerbaijan","EMEA"
151,"Lesotho","Africa"
152,"Bahrain","EMEA"
153,"Montenegro","EMEA"
154,"Moldova","EMEA"
155,"Rwanda","Africa"
156,"Nepal","APAC"
157,"Martinique","LATAM"
158,"Estonia","EMEA"
159,"Albania","EMEA"
160,"Slovakia","EMEA"
161,"Sudan","Africa"
162,"Guinea","Africa"
163,"Republic of the Congo","Africa"
164,"Namibia","Africa"
165,"Sri Lanka","APAC"
166,"Central African Republic","Africa"
167,"Eritrea","Africa"
168,"Lebanon","EMEA"
169,"Bosnia and Herzegovina","EMEA"
170,"Barbados","LATAM"
171,"Paraguay","LATAM"
172,"Mauritania","Africa"
173,"Swaziland","Africa"
174,"Gabon","Africa"
175,"Armenia","EMEA"
176,"Slovenia","EMEA"
177,"Macedonia","EMEA"
178,"Equatorial Guinea","Africa"
179,"South Sudan","Africa"
180,"Burundi","Africa"
181,"Turkey","EMEA"
182,"Nigeria","Africa"
183,"Turkmenistan","EMEA"
184,"Kazakhstan","EMEA"
185,"Lithuania","EMEA"
186,"Yemen","EMEA"
187,"Uganda","Africa"
188,"Zimbabwe","Africa"
189,"United Arab Emirates","EMEA"
190,"Sweden","EU"
191,"Denmark","EU"
192,"Ireland","EU"
193,"Portugal","EU"
194,"Netherlands","EU"
195,"South Korea","APAC"
196,"Pakistan","APAC"
197,"Papua New Guinea","APAC"
198,"Thailand","APAC"
199,"Myanmar (Burma)","APAC"
200,"Vietnam","APAC"
201,"Philippines","APAC"
202,"Indonesia","APAC"
203,"Dominican Republic","LATAM"
204,"Haiti","LATAM"
205,"Panama","LATAM"
206,"Honduras","LATAM"
207,"Argentina","LATAM"
208,"Peru","LATAM"
209,"Venezuela","LATAM"
210,"Tajikistan","EMEA"
