"date_week_id","fiscal_year","fiscal_week","fiscal_quarter","month","week_start_date","week_end_date"
201101,2011,1,1,1,2011-01-03,2011-01-09
201102,2011,2,1,1,2011-01-10,2011-01-16
201103,2011,3,1,1,2011-01-17,2011-01-23
201104,2011,4,1,1,2011-01-24,2011-01-30
201105,2011,5,1,1,2011-01-31,2011-02-06
201106,2011,6,1,2,2011-02-07,2011-02-13
201107,2011,7,1,2,2011-02-14,2011-02-20
201108,2011,8,1,2,2011-02-21,2011-02-27
201109,2011,9,1,2,2011-02-28,2011-03-06
201110,2011,10,1,3,2011-03-07,2011-03-13
201111,2011,11,1,3,2011-03-14,2011-03-20
201112,2011,12,1,3,2011-03-21,2011-03-27
201113,2011,13,1,3,2011-03-28,2011-04-03
201114,2011,14,2,4,2011-04-04,2011-04-10
201115,2011,15,2,4,2011-04-11,2011-04-17
201116,2011,16,2,4,2011-04-18,2011-04-24
201117,2011,17,2,4,2011-04-25,2011-05-01
201118,2011,18,2,5,2011-05-02,2011-05-08
201119,2011,19,2,5,2011-05-09,2011-05-15
201120,2011,20,2,5,2011-05-16,2011-05-22
201121,2011,21,2,5,2011-05-23,2011-05-29
201122,2011,22,2,5,2011-05-30,2011-06-05
201123,2011,23,2,6,2011-06-06,2011-06-12
201124,2011,24,2,6,2011-06-13,2011-06-19
201125,2011,25,2,6,2011-06-20,2011-06-26
201126,2011,26,2,6,2011-06-27,2011-07-03
201127,2011,27,3,7,2011-07-04,2011-07-10
201128,2011,28,3,7,2011-07-11,2011-07-17
201129,2011,29,3,7,2011-07-18,2011-07-24
201130,2011,30,3,7,2011-07-25,2011-07-31
201131,2011,31,3,8,2011-08-01,2011-08-07
201132,2011,32,3,8,2011-08-08,2011-08-14
201133,2011,33,3,8,2011-08-15,2011-08-21
201134,2011,34,3,8,2011-08-22,2011-08-28
201135,2011,35,3,8,2011-08-29,2011-09-04
201136,2011,36,3,9,2011-09-05,2011-09-11
201137,2011,37,3,9,2011-09-12,2011-09-18
201138,2011,38,3,9,2011-09-19,2011-09-25
201139,2011,39,3,9,2011-09-26,2011-10-02
201140,2011,40,4,10,2011-10-03,2011-10-09
201141,2011,41,4,10,2011-10-10,2011-10-16
201142,2011,42,4,10,2011-10-17,2011-10-23
201143,2011,43,4,10,2011-10-24,2011-10-30
201144,2011,44,4,10,2011-10-31,2011-11-06
201145,2011,45,4,11,2011-11-07,2011-11-13
201146,2011,46,4,11,2011-11-14,2011-11-20
201147,2011,47,4,11,2011-11-21,2011-11-27
201148,2011,48,4,11,2011-11-28,2011-12-04
201149,2011,49,4,12,2011-12-05,2011-12-11
201150,2011,50,4,12,2011-12-12,2011-12-18
201151,2011,51,4,12,2011-12-19,2011-12-25
201152,2011,52,4,12,2011-12-26,2012-01-01
201153,2011,53,5,1,2012-01-02,2012-01-08
201201,2012,1,1,1,2012-01-02,2012-01-08
201202,2012,2,1,1,2012-01-09,2012-01-15
201203,2012,3,1,1,2012-01-16,2012-01-22
201204,2012,4,1,1,2012-01-23,2012-01-29
201205,2012,5,1,1,2012-01-30,2012-02-05
201206,2012,6,1,2,2012-02-06,2012-02-12
201207,2012,7,1,2,2012-02-13,2012-02-19
201208,2012,8,1,2,2012-02-20,2012-02-26
201209,2012,9,1,2,2012-02-27,2012-03-04
201210,2012,10,1,3,2012-03-05,2012-03-11
201211,2012,11,1,3,2012-03-12,2012-03-18
201212,2012,12,1,3,2012-03-19,2012-03-25
201213,2012,13,1,3,2012-03-26,2012-04-01
201214,2012,14,2,4,2012-04-02,2012-04-08
201215,2012,15,2,4,2012-04-09,2012-04-15
201216,2012,16,2,4,2012-04-16,2012-04-22
201217,2012,17,2,4,2012-04-23,2012-04-29
201218,2012,18,2,4,2012-04-30,2012-05-06
201219,2012,19,2,5,2012-05-07,2012-05-13
201220,2012,20,2,5,2012-05-14,2012-05-20
201221,2012,21,2,5,2012-05-21,2012-05-27
201222,2012,22,2,5,2012-05-28,2012-06-03
201223,2012,23,2,6,2012-06-04,2012-06-10
201224,2012,24,2,6,2012-06-11,2012-06-17
201225,2012,25,2,6,2012-06-18,2012-06-24
201226,2012,26,2,6,2012-06-25,2012-07-01
201227,2012,27,3,7,2012-07-02,2012-07-08
201228,2012,28,3,7,2012-07-09,2012-07-15
201229,2012,29,3,7,2012-07-16,2012-07-22
201230,2012,30,3,7,2012-07-23,2012-07-29
201231,2012,31,3,7,2012-07-30,2012-08-05
201232,2012,32,3,8,2012-08-06,2012-08-12
201233,2012,33,3,8,2012-08-13,2012-08-19
201234,2012,34,3,8,2012-08-20,2012-08-26
201235,2012,35,3,8,2012-08-27,2012-09-02
201236,2012,36,3,9,2012-09-03,2012-09-09
201237,2012,37,3,9,2012-09-10,2012-09-16
201238,2012,38,3,9,2012-09-17,2012-09-23
201239,2012,39,3,9,2012-09-24,2012-09-30
201240,2012,40,4,10,2012-10-01,2012-10-07
201241,2012,41,4,10,2012-10-08,2012-10-14
201242,2012,42,4,10,2012-10-15,2012-10-21
201243,2012,43,4,10,2012-10-22,2012-10-28
201244,2012,44,4,10,2012-10-29,2012-11-04
201245,2012,45,4,11,2012-11-05,2012-11-11
201246,2012,46,4,11,2012-11-12,2012-11-18
201247,2012,47,4,11,2012-11-19,2012-11-25
201248,2012,48,4,11,2012-11-26,2012-12-02
201249,2012,49,4,12,2012-12-03,2012-12-09
201250,2012,50,4,12,2012-12-10,2012-12-16
201251,2012,51,4,12,2012-12-17,2012-12-23
201252,2012,52,4,12,2012-12-24,2012-12-30
201253,2012,53,5,12,2012-12-31,2013-01-06
201301,2013,1,1,1,2013-01-07,2013-01-13
201302,2013,2,1,1,2013-01-14,2013-01-20
201303,2013,3,1,1,2013-01-21,2013-01-27
201304,2013,4,1,1,2013-01-28,2013-02-03
201305,2013,5,1,2,2013-02-04,2013-02-10
201306,2013,6,1,2,2013-02-11,2013-02-17
201307,2013,7,1,2,2013-02-18,2013-02-24
201308,2013,8,1,2,2013-02-25,2013-03-03
201309,2013,9,1,3,2013-03-04,2013-03-10
201310,2013,10,1,3,2013-03-11,2013-03-17
201311,2013,11,1,3,2013-03-18,2013-03-24
201312,2013,12,1,3,2013-03-25,2013-03-31
201313,2013,13,1,4,2013-04-01,2013-04-07
201314,2013,14,2,4,2013-04-08,2013-04-14
201315,2013,15,2,4,2013-04-15,2013-04-21
201316,2013,16,2,4,2013-04-22,2013-04-28
201317,2013,17,2,4,2013-04-29,2013-05-05
201318,2013,18,2,5,2013-05-06,2013-05-12
201319,2013,19,2,5,2013-05-13,2013-05-19
201320,2013,20,2,5,2013-05-20,2013-05-26
201321,2013,21,2,5,2013-05-27,2013-06-02
201322,2013,22,2,6,2013-06-03,2013-06-09
201323,2013,23,2,6,2013-06-10,2013-06-16
201324,2013,24,2,6,2013-06-17,2013-06-23
201325,2013,25,2,6,2013-06-24,2013-06-30
201326,2013,26,2,7,2013-07-01,2013-07-07
201327,2013,27,3,7,2013-07-08,2013-07-14
201328,2013,28,3,7,2013-07-15,2013-07-21
201329,2013,29,3,7,2013-07-22,2013-07-28
201330,2013,30,3,7,2013-07-29,2013-08-04
201331,2013,31,3,8,2013-08-05,2013-08-11
201332,2013,32,3,8,2013-08-12,2013-08-18
201333,2013,33,3,8,2013-08-19,2013-08-25
201334,2013,34,3,8,2013-08-26,2013-09-01
201335,2013,35,3,9,2013-09-02,2013-09-08
201336,2013,36,3,9,2013-09-09,2013-09-15
201337,2013,37,3,9,2013-09-16,2013-09-22
201338,2013,38,3,9,2013-09-23,2013-09-29
201339,2013,39,3,9,2013-09-30,2013-10-06
201340,2013,40,4,10,2013-10-07,2013-10-13
201341,2013,41,4,10,2013-10-14,2013-10-20
201342,2013,42,4,10,2013-10-21,2013-10-27
201343,2013,43,4,10,2013-10-28,2013-11-03
201344,2013,44,4,11,2013-11-04,2013-11-10
201345,2013,45,4,11,2013-11-11,2013-11-17
201346,2013,46,4,11,2013-11-18,2013-11-24
201347,2013,47,4,11,2013-11-25,2013-12-01
201348,2013,48,4,12,2013-12-02,2013-12-08
201349,2013,49,4,12,2013-12-09,2013-12-15
201350,2013,50,4,12,2013-12-16,2013-12-22
201351,2013,51,4,12,2013-12-23,2013-12-29
201352,2013,52,4,12,2013-12-30,2014-01-05
201353,2013,53,5,1,2014-01-06,2014-01-12
201401,2014,1,1,1,2014-01-06,2014-01-12
201402,2014,2,1,1,2014-01-13,2014-01-19
201403,2014,3,1,1,2014-01-20,2014-01-26
201404,2014,4,1,1,2014-01-27,2014-02-02
201405,2014,5,1,2,2014-02-03,2014-02-09
201406,2014,6,1,2,2014-02-10,2014-02-16
201407,2014,7,1,2,2014-02-17,2014-02-23
201408,2014,8,1,2,2014-02-24,2014-03-02
201409,2014,9,1,3,2014-03-03,2014-03-09
201410,2014,10,1,3,2014-03-10,2014-03-16
201411,2014,11,1,3,2014-03-17,2014-03-23
201412,2014,12,1,3,2014-03-24,2014-03-30
201413,2014,13,1,3,2014-03-31,2014-04-06
201414,2014,14,2,4,2014-04-07,2014-04-13
201415,2014,15,2,4,2014-04-14,2014-04-20
201416,2014,16,2,4,2014-04-21,2014-04-27
201417,2014,17,2,4,2014-04-28,2014-05-04
201418,2014,18,2,5,2014-05-05,2014-05-11
201419,2014,19,2,5,2014-05-12,2014-05-18
201420,2014,20,2,5,2014-05-19,2014-05-25
201421,2014,21,2,5,2014-05-26,2014-06-01
201422,2014,22,2,6,2014-06-02,2014-06-08
201423,2014,23,2,6,2014-06-09,2014-06-15
201424,2014,24,2,6,2014-06-16,2014-06-22
201425,2014,25,2,6,2014-06-23,2014-06-29
201426,2014,26,2,6,2014-06-30,2014-07-06
201427,2014,27,3,7,2014-07-07,2014-07-13
201428,2014,28,3,7,2014-07-14,2014-07-20
201429,2014,29,3,7,2014-07-21,2014-07-27
201430,2014,30,3,7,2014-07-28,2014-08-03
201431,2014,31,3,8,2014-08-04,2014-08-10
201432,2014,32,3,8,2014-08-11,2014-08-17
201433,2014,33,3,8,2014-08-18,2014-08-24
201434,2014,34,3,8,2014-08-25,2014-08-31
201435,2014,35,3,9,2014-09-01,2014-09-07
201436,2014,36,3,9,2014-09-08,2014-09-14
201437,2014,37,3,9,2014-09-15,2014-09-21
201438,2014,38,3,9,2014-09-22,2014-09-28
201439,2014,39,3,9,2014-09-29,2014-10-05
201440,2014,40,4,10,2014-10-06,2014-10-12
201441,2014,41,4,10,2014-10-13,2014-10-19
201442,2014,42,4,10,2014-10-20,2014-10-26
201443,2014,43,4,10,2014-10-27,2014-11-02
201444,2014,44,4,11,2014-11-03,2014-11-09
201445,2014,45,4,11,2014-11-10,2014-11-16
201446,2014,46,4,11,2014-11-17,2014-11-23
201447,2014,47,4,11,2014-11-24,2014-11-30
201448,2014,48,4,12,2014-12-01,2014-12-07
201449,2014,49,4,12,2014-12-08,2014-12-14
201450,2014,50,4,12,2014-12-15,2014-12-21
201451,2014,51,4,12,2014-12-22,2014-12-28
201452,2014,52,4,12,2014-12-29,2015-01-04
201453,2014,53,5,1,2015-01-05,2015-01-11
