"wholesaler_id","wholesaler_name","wholesaler_tier","country_id","primary_channel_id"
1,"WH-Afghanistan-E-Commerce-7513","T3",122,2
2,"WH-Afghanistan-Key Accounts-4826","T1",122,3
3,"WH-Afghanistan-Retail-5442","T2",122,1
4,"WH-Albania-Key Accounts-0595","T1",159,3
5,"WH-Albania-Retail-8905","T2",159,1
6,"WH-Albania-E-Commerce-1729","T3",159,2
7,"WH-Algeria-E-Commerce-5081","T3",138,2
8,"WH-Algeria-Key Accounts-7451","T1",138,3
9,"WH-Algeria-Retail-3571","T2",138,1
10,"WH-Angola-E-Commerce-4431","T3",114,2
11,"WH-Angola-Key Accounts-4498","T1",114,3
12,"WH-Angola-Retail-7550","T2",114,1
13,"WH-Argentina-Retail-7876","T2",207,1
14,"WH-Argentina-Key Accounts-2465","T1",207,3
15,"WH-Argentina-E-Commerce-3073","T3",207,2
16,"WH-Armenia-Retail-9925","T2",175,1
17,"WH-Australia-E-Commerce-1434","T3",115,2
18,"WH-Australia-Key Accounts-9517","T1",115,3
19,"WH-Australia-Retail-9500","T2",115,1
20,"WH-Austria-E-Commerce-3872","T3",69,2
21,"WH-Austria-Key Accounts-4463","T1",69,3
22,"WH-Austria-Retail-9635","T2",69,1
23,"WH-Azerbaijan-Key Accounts-5015","T1",150,3
24,"WH-Azerbaijan-Retail-6958","T2",150,1
25,"WH-Bahrain-Key Accounts-7988","T1",152,3
26,"WH-Bangladesh-E-Commerce-8149","T3",106,2
27,"WH-Bangladesh-Key Accounts-1621","T1",106,3
28,"WH-Bangladesh-Retail-0950","T2",106,1
29,"WH-Barbados-Retail-3383","T2",170,1
30,"WH-Barbados-E-Commerce-8787","T3",170,2
31,"WH-Barbados-Key Accounts-7616","T1",170,3
32,"WH-Belarus-E-Commerce-0386","T3",126,2
33,"WH-Belarus-Key Accounts-0418","T1",126,3
34,"WH-Belarus-Retail-3139","T2",126,1
35,"WH-Belgium-E-Commerce-7081","T3",71,2
36,"WH-Belgium-Key Accounts-2700","T1",71,3
37,"WH-Belgium-Retail-8192","T2",71,1
38,"WH-Benin-E-Commerce-0007","T3",139,2
39,"WH-Benin-Key Accounts-4424","T1",139,3
40,"WH-Benin-Retail-9155","T2",139,1
41,"WH-Bolivia-E-Commerce-1670","T3",113,2
42,"WH-Bolivia-Key Accounts-0154","T1",113,3
