operating_country,channel_name,pmi_product_family,brand_tier,weeks,corr_price_volume,corr_price_netrev
Cuba,Key Accounts,Oral Nicotine,Value,16,-0.758915509,0.569562317
South Africa,Retail,Oral Nicotine,Value,10,-0.602017448,0.820682453
Italy,Key Accounts,Oral Nicotine,Core,14,-0.52896361,0.818107252
Guatemala,E-Commerce,Oral Nicotine,Value,10,-0.51059939,0.484990223
Cameroon,Key Accounts,Cigarettes,Premium,10,-0.485173955,0.766536703
Dominican Republic,E-Commerce,Oral Nicotine,Core,18,-0.481962237,0.582427082
Spain,Key Accounts,Oral Nicotine,Core,12,-0.464761287,0.656483419
Belarus,Retail,Cigarettes,Value,12,-0.464280528,0.785272468
Colombia,Retail,Oral Nicotine,Core,10,-0.457715532,0.326633805
Thailand,Retail,Heated Tobacco,Value,13,-0.453346236,0.761806223
Panama,Key Accounts,Heated Tobacco,Value,14,-0.444899682,0.88459416
Bangladesh,Retail,Cigarettes,Value,12,-0.441840927,-0.113133189
Colombia,E-Commerce,Cigarettes,Core,14,-0.437424468,0.645278272
Russia,Key Accounts,Oral Nicotine,Core,10,-0.431737413,0.717013038
Vietnam,Retail,Oral Nicotine,Value,11,-0.428612299,0.723529199
Thailand,Retail,Oral Nicotine,Core,11,-0.422484677,0.035970225
Russia,Retail,Heated Tobacco,Premium,12,-0.421502697,0.153777773
Indonesia,E-Commerce,Oral Nicotine,Premium,12,-0.420364014,0.583504681
Iraq,Retail,Heated Tobacco,Premium,13,-0.417973984,0.32125426
Vietnam,E-Commerce,Cigarettes,Core,12,-0.416385037,0.690832691
Austria,Key Accounts,Cigarettes,Premium,17,-0.416301388,0.913317307
Philippines,Key Accounts,Oral Nicotine,Value,10,-0.410021813,0.873967961
Brazil,Key Accounts,Oral Nicotine,Core,30,-0.405177949,0.78114225
Malaysia,Retail,Cigarettes,Premium,13,-0.403938999,-0.166575126
Cuba,Key Accounts,Heated Tobacco,Premium,15,-0.40126798,0.514198156
Guatemala,Retail,Heated Tobacco,Premium,16,-0.391080164,0.606202533
Morocco,Retail,Oral Nicotine,Value,10,-0.386922101,0.613943362
Democratic Republic of the Congo,Key Accounts,Cigarettes,Value,19,-0.384966901,0.727872605
Thailand,Retail,Oral Nicotine,Value,10,-0.380395294,0.293523965
Dominican Republic,Key Accounts,Oral Nicotine,Premium,12,-0.376723991,0.652933271
Colombia,Retail,Oral Nicotine,Premium,13,-0.376605145,0.825874251
Thailand,E-Commerce,Cigarettes,Value,12,-0.373124507,0.941824823
Ukraine,Retail,Oral Nicotine,Premium,11,-0.370133204,0.867668646
Kazakhstan,Retail,Cigarettes,Premium,12,-0.369162031,0.814606858
El Salvador,Retail,Heated Tobacco,Premium,19,-0.359069062,0.865243024
China,E-Commerce,Oral Nicotine,Premium,23,-0.356090985,0.425653465
El Salvador,Key Accounts,Oral Nicotine,Premium,14,-0.354690748,0.768041819
Philippines,E-Commerce,Cigarettes,Core,21,-0.353823979,0.586794997
El Salvador,Retail,Heated Tobacco,Core,24,-0.350828348,0.252183601
Spain,Key Accounts,Heated Tobacco,Value,20,-0.348833392,0.311855232
Argentina,Retail,Cigarettes,Value,30,-0.340298869,0.87905715
Romania,Retail,Cigarettes,Premium,13,-0.332592229,0.794506184
Dominican Republic,Key Accounts,Heated Tobacco,Core,16,-0.331404437,0.528260909
Cuba,Retail,Heated Tobacco,Premium,19,-0.324870134,0.79758391
United Kingdom,E-Commerce,Oral Nicotine,Value,17,-0.324082557,0.891752845
Germany,Retail,Heated Tobacco,Premium,56,-0.322543031,0.658754992
Argentina,Retail,Heated Tobacco,Core,20,-0.321153017,0.746536081
New Zealand,Key Accounts,Heated Tobacco,Core,15,-0.318929011,0.897085779
Germany,E-Commerce,Heated Tobacco,Premium,17,-0.318684616,0.476927701
Egypt,E-Commerce,Cigarettes,Premium,15,-0.318351149,0.835750404
Dominican Republic,Retail,Oral Nicotine,Core,20,-0.317795977,0.770054485
Indonesia,Retail,Oral Nicotine,Core,46,-0.3174785,0.715256847
United Kingdom,E-Commerce,Heated Tobacco,Premium,18,-0.314608597,0.483071877
Austria,Retail,Heated Tobacco,Value,10,-0.314238343,0.719078366
Ukraine,Key Accounts,Cigarettes,Core,22,-0.313007496,0.463352893
Nigeria,E-Commerce,Heated Tobacco,Core,11,-0.308290079,0.008481813
France,E-Commerce,Oral Nicotine,Value,14,-0.304084116,0.807413617
Chile,Retail,Cigarettes,Core,10,-0.302779376,0.941556527
Egypt,Key Accounts,Cigarettes,Premium,20,-0.299713538,0.501133533
Algeria,Key Accounts,Cigarettes,Premium,11,-0.298384402,0.668818116
Sweden,Key Accounts,Cigarettes,Value,15,-0.294236707,0.570168652
Honduras,Retail,Oral Nicotine,Value,17,-0.294150117,0.437822799
El Salvador,Key Accounts,Heated Tobacco,Premium,11,-0.293154754,0.696826785
Brazil,Key Accounts,Heated Tobacco,Premium,22,-0.289343874,0.673062493
Democratic Republic of the Congo,Key Accounts,Cigarettes,Premium,17,-0.287998691,0.165590906
Belgium,Retail,Cigarettes,Core,10,-0.28679722,0.746119354
Mexico,E-Commerce,Oral Nicotine,Value,25,-0.283542096,0.60387974
Democratic Republic of the Congo,E-Commerce,Cigarettes,Value,15,-0.283055077,0.479910549
Canada,E-Commerce,Cigarettes,Premium,12,-0.282609299,0.380306251
Nigeria,Retail,Oral Nicotine,Value,19,-0.27965503,0.872472996
Bulgaria,Retail,Cigarettes,Premium,10,-0.278500636,0.050213675
Iraq,E-Commerce,Cigarettes,Premium,13,-0.277514759,0.949791418
Egypt,Retail,Oral Nicotine,Premium,14,-0.276682782,0.188251356
Turkey,Retail,Heated Tobacco,Value,30,-0.275598549,0.304000748
Philippines,Key Accounts,Heated Tobacco,Value,19,-0.274844542,0.834236915
Nicaragua,Key Accounts,Cigarettes,Core,26,-0.274599626,0.906261963
Iran,Key Accounts,Heated Tobacco,Core,14,-0.269065918,0.372410324
Turkey,Retail,Oral Nicotine,Premium,22,-0.268687013,0.500019617
Turkey,E-Commerce,Heated Tobacco,Premium,17,-0.268640039,0.406706266
Philippines,Retail,Heated Tobacco,Value,29,-0.268356596,0.832757403
Australia,E-Commerce,Heated Tobacco,Value,28,-0.265745144,0.691241909
Romania,Retail,Cigarettes,Core,11,-0.264845673,0.302436916
Vietnam,Retail,Heated Tobacco,Value,13,-0.264667704,0.912005335
Spain,Key Accounts,Oral Nicotine,Premium,12,-0.262570409,0.909406678
United Kingdom,Key Accounts,Heated Tobacco,Premium,32,-0.261786972,0.682568204
Iran,E-Commerce,Cigarettes,Value,14,-0.261019798,0.809538416
Bangladesh,Retail,Cigarettes,Core,16,-0.260945168,0.453109329
Democratic Republic of the Congo,Key Accounts,Cigarettes,Core,13,-0.257742468,0.851557316
South Africa,Retail,Heated Tobacco,Premium,14,-0.256849397,0.73605967
Honduras,Key Accounts,Cigarettes,Core,30,-0.254444982,0.934716639
Netherlands,E-Commerce,Cigarettes,Premium,15,-0.253924582,0.805728324
Spain,E-Commerce,Oral Nicotine,Premium,11,-0.251841233,0.6392758
Myanmar (Burma),Retail,Cigarettes,Value,16,-0.251746851,0.685862336
Egypt,Retail,Oral Nicotine,Value,14,-0.251566268,0.786633961
Cuba,Retail,Heated Tobacco,Value,22,-0.25030454,0.416041585
Brazil,Key Accounts,Oral Nicotine,Value,36,-0.250170325,0.770643511
Cuba,Key Accounts,Oral Nicotine,Core,18,-0.248159369,0.532240352
Nigeria,Key Accounts,Heated Tobacco,Premium,17,-0.245940919,0.222407179
Germany,E-Commerce,Oral Nicotine,Value,18,-0.245592233,0.799040039
Tanzania,Key Accounts,Cigarettes,Premium,10,-0.2440421,0.695198941
Egypt,Key Accounts,Cigarettes,Value,20,-0.243913161,0.862073603
Saudi Arabia,Key Accounts,Cigarettes,Core,19,-0.243594456,0.703068814
Sweden,Retail,Cigarettes,Premium,17,-0.243126046,0.805965964
Italy,Key Accounts,Heated Tobacco,Core,24,-0.24275051,0.622207187
China,E-Commerce,Heated Tobacco,Value,23,-0.240473963,0.678614525
Iran,Retail,Heated Tobacco,Core,21,-0.239044802,0.278143421
United Kingdom,Key Accounts,Oral Nicotine,Core,14,-0.237631261,0.613826468
Pakistan,Retail,Oral Nicotine,Core,12,-0.237254139,0.674757019
Nicaragua,Key Accounts,Oral Nicotine,Premium,12,-0.237098765,0.740206899
Brazil,E-Commerce,Oral Nicotine,Premium,20,-0.236436836,0.700687051
Canada,E-Commerce,Cigarettes,Core,15,-0.235395461,0.863229165
Honduras,Key Accounts,Cigarettes,Premium,21,-0.235113402,0.495304479
Senegal,Retail,Cigarettes,Value,12,-0.234795825,0.949448532
Vietnam,Retail,Cigarettes,Core,23,-0.234360302,0.969310134
Panama,Retail,Heated Tobacco,Core,15,-0.234168375,0.524631366
Venezuela,Retail,Cigarettes,Value,19,-0.233221541,0.792878742
Austria,Key Accounts,Cigarettes,Value,15,-0.232907473,0.923653023
Morocco,E-Commerce,Cigarettes,Core,18,-0.232264741,0.570200387
El Salvador,Retail,Oral Nicotine,Value,24,-0.231013435,0.661348469
Egypt,Key Accounts,Cigarettes,Core,23,-0.229242048,0.331962715
Colombia,Key Accounts,Cigarettes,Value,19,-0.22909295,0.553635551
Democratic Republic of the Congo,Retail,Heated Tobacco,Value,18,-0.228791172,0.350625054
Iraq,E-Commerce,Cigarettes,Value,16,-0.227870818,0.6035589
Turkey,Key Accounts,Heated Tobacco,Value,26,-0.227021413,0.286615154
New Zealand,Key Accounts,Cigarettes,Value,31,-0.226323918,0.610782078
Philippines,E-Commerce,Cigarettes,Value,20,-0.226048309,0.502765431
Egypt,E-Commerce,Cigarettes,Core,21,-0.225629411,0.850667717
New Zealand,Retail,Cigarettes,Premium,39,-0.223215323,0.390998097
Brazil,E-Commerce,Heated Tobacco,Premium,14,-0.222986809,0.938590784
Ukraine,Retail,Heated Tobacco,Premium,16,-0.222271806,0.457479326
Ukraine,E-Commerce,Cigarettes,Value,12,-0.220940855,0.667765265
El Salvador,Key Accounts,Cigarettes,Core,28,-0.216268364,0.915723403
Turkey,Retail,Heated Tobacco,Premium,40,-0.215274423,0.452071398
Angola,Retail,Cigarettes,Value,14,-0.214942835,0.615629071
South Africa,Key Accounts,Cigarettes,Value,19,-0.213967131,0.861339571
Malaysia,Retail,Cigarettes,Value,12,-0.213132533,0.965631593
Canada,Retail,Heated Tobacco,Core,11,-0.211387527,0.304967184
South Africa,Retail,Cigarettes,Premium,33,-0.210760999,0.420588666
Nigeria,Retail,Heated Tobacco,Value,20,-0.210617867,0.420811661
Ghana,Retail,Cigarettes,Value,10,-0.210533743,0.644042477
South Africa,Retail,Oral Nicotine,Core,11,-0.21039211,0.184062498
Brazil,Retail,Oral Nicotine,Core,46,-0.207403851,0.599448295
Iran,Retail,Cigarettes,Value,54,-0.206938387,0.680024047
France,Retail,Oral Nicotine,Premium,72,-0.206881191,0.665205159
Russia,Retail,Cigarettes,Premium,29,-0.205699057,0.826979963
Nigeria,Key Accounts,Heated Tobacco,Core,19,-0.205662072,0.457196468
Indonesia,Key Accounts,Oral Nicotine,Core,35,-0.205422877,0.487735394
Panama,Key Accounts,Cigarettes,Premium,19,-0.205327448,0.863030824
South Africa,E-Commerce,Cigarettes,Core,11,-0.204551157,0.87988346
Germany,Key Accounts,Oral Nicotine,Core,24,-0.204073312,0.739333283
Italy,Key Accounts,Heated Tobacco,Value,15,-0.202091898,0.666366152
Germany,Retail,Oral Nicotine,Premium,59,-0.20111918,0.516703157
Iraq,Retail,Heated Tobacco,Core,13,-0.200105624,0.589321651
Argentina,Retail,Oral Nicotine,Value,14,-0.200092739,0.483303351
Pakistan,Retail,Cigarettes,Value,13,-0.200029785,0.471235955
Philippines,Key Accounts,Oral Nicotine,Core,10,-0.197820228,0.823795975
Dominican Republic,Retail,Oral Nicotine,Value,26,-0.19768257,0.694252283
Guatemala,E-Commerce,Cigarettes,Premium,14,-0.197245906,0.956539003
Panama,E-Commerce,Cigarettes,Core,10,-0.197245615,0.863194852
Romania,Retail,Heated Tobacco,Premium,10,-0.197156299,0.093528294
Indonesia,Retail,Heated Tobacco,Core,39,-0.196685169,0.597847399
Spain,Key Accounts,Oral Nicotine,Value,17,-0.194912102,0.689201333
Indonesia,E-Commerce,Oral Nicotine,Core,12,-0.191346984,0.698232982
China,Key Accounts,Heated Tobacco,Value,34,-0.191023101,0.561253912
Colombia,Key Accounts,Cigarettes,Premium,12,-0.189972529,0.787903084
China,Retail,Heated Tobacco,Premium,56,-0.18781606,0.606090521
South Africa,Key Accounts,Oral Nicotine,Core,10,-0.186925524,0.244592594
Iraq,Retail,Oral Nicotine,Premium,10,-0.186486624,0.930977112
Panama,Retail,Cigarettes,Premium,32,-0.186408188,0.892010126
Austria,E-Commerce,Cigarettes,Premium,10,-0.185238428,0.791521676
Brazil,Key Accounts,Heated Tobacco,Value,28,-0.184652082,0.624008333
Pakistan,Retail,Heated Tobacco,Core,10,-0.182257767,0.472807516
Austria,Retail,Cigarettes,Premium,27,-0.182190458,0.559373408
Philippines,Retail,Oral Nicotine,Value,29,-0.182065328,0.614613786
New Zealand,Key Accounts,Oral Nicotine,Value,12,-0.181121606,0.510337093
India,Key Accounts,Heated Tobacco,Value,26,-0.181055451,0.795440066
Indonesia,Key Accounts,Heated Tobacco,Premium,17,-0.180682388,0.719380798
South Africa,E-Commerce,Cigarettes,Value,19,-0.179939313,0.619942455
Nicaragua,Key Accounts,Oral Nicotine,Core,19,-0.179091478,0.5954165
El Salvador,E-Commerce,Cigarettes,Value,14,-0.178970859,0.360159314
Romania,Key Accounts,Cigarettes,Core,13,-0.17836427,0.614724299
Italy,E-Commerce,Cigarettes,Value,32,-0.177237607,0.947114041
India,Retail,Heated Tobacco,Core,46,-0.176530129,0.655915697
Colombia,Retail,Oral Nicotine,Value,17,-0.176421531,0.796698652
Indonesia,E-Commerce,Cigarettes,Core,30,-0.175363231,0.933186161
Mozambique,Retail,Cigarettes,Premium,11,-0.174032705,0.531256129
Spain,Retail,Cigarettes,Core,59,-0.173994339,0.737947528
Dominican Republic,Key Accounts,Cigarettes,Core,23,-0.173374509,0.983497956
Morocco,Retail,Heated Tobacco,Value,11,-0.173314946,0.199157403
New Zealand,E-Commerce,Cigarettes,Core,19,-0.173154978,0.880862694
