operating_country,channel_name,weeks,shipments_units,gross_revenue,total_trade_spend,net_revenue_after_trade,trade_spend_pct_calc,trade_spend_per_unit,net_rev_per_unit
United States,Retail,1522,19521,1161497,166271.64,995225.36,0.143152879,8.517577993,50.98229394
United States,Key Accounts,1240,11608,706183,91391.13,614791.87,0.129415647,7.873115955,52.96277309
Australia,Retail,863,5716,499326,66711.3,432614.7,0.133602696,11.67097621,75.68486704
United States,E-Commerce,937,6744,429674,64928.2,364745.8,0.151110377,9.627550415,54.08448992
France,Retail,821,5520,434394,49765.85,384628.15,0.114563852,9.015552536,69.67901268
Indonesia,Retail,496,2731,211238,41068.01,170169.99,0.194415825,15.03771878,62.31050531
Australia,Key Accounts,577,3108,270476,34592.8,235883.2,0.127896006,11.13024453,75.8954955
France,Key Accounts,564,3385,282110,32350.65,249759.35,0.114673886,9.557060561,73.78415066
Turkey,Retail,466,1504,50979,30587.4,20391.6,0.6,20.33736702,13.55824468
Philippines,Retail,290,1397,96394,29837.1,66556.9,0.309532751,21.35798139,47.64273443
Indonesia,Key Accounts,335,1615,128899,26689.73,102209.27,0.207059248,16.52614861,63.28747368
Netherlands,Retail,197,990,51290,24800.3,26489.7,0.483530903,25.05080808,26.75727273
Mexico,Retail,813,5180,321122,23843.02,297278.98,0.074249102,4.602899614,57.38976448
Germany,Retail,682,4161,343508,22399.35,321108.65,0.065207652,5.383165105,77.1710286
Turkey,Key Accounts,320,926,34776,20865.6,13910.4,0.6,22.53304536,15.02203024
Nigeria,Retail,344,1088,29259,20481.3,8777.7,0.7,18.82472426,8.067738971
Australia,E-Commerce,351,1849,155455,20442,135013,0.131497861,11.05570579,73.01946998
Brazil,Retail,581,3250,191704,18068.14,173635.86,0.094250198,5.559427692,53.42641846
Honduras,Retail,263,1281,42452,17621.53,24830.47,0.415093046,13.75607338,19.3836612
Italy,Retail,389,2055,146705,17597,129108,0.119948195,8.563017032,62.82627737
Mexico,Key Accounts,554,3162,198787,16274.2,182512.8,0.081867527,5.146805819,57.72068311
France,E-Commerce,352,1899,142426,15346.6,127079.4,0.107751394,8.081411269,66.91911532
Italy,Key Accounts,286,1352,100024,15078.1,84945.9,0.150744821,11.15244083,62.82980769
Dominican Republic,Retail,290,1312,59515,14667.98,44847.02,0.24645854,11.1798628,34.18217988
Germany,Key Accounts,428,2276,174897,14593.15,160303.85,0.083438538,6.411753076,70.43227153
Indonesia,E-Commerce,183,891,64750,13695.3,51054.7,0.211510425,15.37070707,57.30044893
Turkey,E-Commerce,210,594,22769,13661.4,9107.6,0.6,22.9989899,15.33265993
Philippines,Key Accounts,145,671,44470,12592.6,31877.4,0.283170677,18.76691505,47.50730253
Argentina,Retail,170,788,29853,12499.05,17353.95,0.418686564,15.86173858,22.02277919
Philippines,E-Commerce,120,538,42569,12333.25,30235.75,0.289723743,22.92425651,56.20027881
Honduras,Key Accounts,170,724,29011,11955.87,17055.13,0.41211506,16.5136326,23.55680939
United Kingdom,Retail,551,3047,270102,11803.3,258298.7,0.043699417,3.873744667,84.77148014
Nigeria,Key Accounts,210,605,16234,11363.8,4870.2,0.7,18.7831405,8.049917355
New Zealand,Retail,256,1040,79644,10811.4,68832.6,0.135746572,10.39557692,66.18519231
Panama,Retail,152,709,26269,10569.47,15699.53,0.402355248,14.90757405,22.14320169
Dominican Republic,Key Accounts,156,717,39310,9944.75,29365.25,0.252982702,13.86994421,40.95571827
Thailand,Retail,123,589,35027,9908.49,25118.51,0.282881491,16.82256367,42.64602716
Pakistan,Retail,94,417,24062,9537.4,14524.6,0.396367717,22.87146283,34.83117506
Pakistan,Key Accounts,79,345,22662,9078.6,13583.4,0.400608949,26.31478261,39.37217391
Germany,E-Commerce,278,1308,110452,8760.6,101691.4,0.079315902,6.697706422,77.74571865
Brazil,Key Accounts,349,1773,102334,8479.17,93854.83,0.082857799,4.782385787,52.93560632
Vietnam,Retail,118,502,29370,7922.9,21447.1,0.269761662,15.78266932,42.72330677
Argentina,Key Accounts,98,464,18488,7790.63,10697.37,0.421388468,16.79015086,23.05467672
Thailand,Key Accounts,70,303,26878,7624.86,19253.14,0.283684054,25.16455446,63.54171617
Honduras,E-Commerce,127,551,18674,7483.45,11190.55,0.400741673,13.58157895,20.30952813
Panama,Key Accounts,110,471,17261,7076.09,10184.91,0.409946701,15.02354565,21.62401274
Dominican Republic,E-Commerce,151,707,27312,7060.51,20251.49,0.258513108,9.986577086,28.64425743
Sweden,Retail,74,310,13114,6772.8,6341.2,0.516455696,21.84774194,20.45548387
South Korea,Retail,72,327,18758,6739.9,12018.1,0.359308029,20.61131498,36.75259939
Netherlands,E-Commerce,66,321,13596,6648.6,6947.4,0.489011474,20.71214953,21.64299065
China,Retail,630,3502,337106,6462.8,330643.2,0.019171418,1.845459737,94.41553398
Spain,Retail,318,1637,141908,6422.4,135485.6,0.045257491,3.923274282,82.76456933
New Zealand,Key Accounts,166,650,50172,6298,43874,0.125528183,9.689230769,67.49846154
Netherlands,Key Accounts,85,371,12634,6211.1,6422.9,0.491617857,16.74150943,17.31239892
Nigeria,E-Commerce,126,363,8854,6197.8,2656.2,0.7,17.0738292,7.317355372
China,Key Accounts,439,2193,216852,5985.6,210866.4,0.027602236,2.729411765,96.15430917
Venezuela,Retail,91,404,14121,5922.03,8198.97,0.419377523,14.6584901,20.2944802
Mexico,E-Commerce,327,1669,102711,5871.06,96839.94,0.057160966,3.517711204,58.02273217
Pakistan,E-Commerce,38,186,12149,5644,6505,0.464564985,30.34408602,34.97311828
Vietnam,E-Commerce,54,252,20636,5639.72,14996.28,0.273295212,22.37984127,59.50904762
Spain,Key Accounts,216,1005,99654,5428.2,94225.8,0.054470468,5.40119403,93.75701493
Italy,E-Commerce,141,719,42988,5035.8,37952.2,0.117144319,7.003894298,52.78470097
Sweden,Key Accounts,66,319,9907,5001.9,4905.1,0.504885435,15.6799373,15.37648903
Ireland,Retail,51,263,9867,4942.5,4924.5,0.500912131,18.79277567,18.7243346
Thailand,E-Commerce,51,218,15143,4759.11,10383.89,0.314277884,21.83077982,47.63252294
United Kingdom,Key Accounts,381,1970,166541,4477.6,162063.4,0.026885872,2.272893401,82.26568528
Brazil,E-Commerce,235,1125,67060,4447.9,62612.1,0.06632717,3.953688889,55.6552
Peru,Retail,74,304,10553,4344.95,6208.05,0.411726523,14.29259868,20.42121711
China,E-Commerce,268,1386,146633,4083.2,142549.8,0.027846392,2.946031746,102.8497835
South Korea,E-Commerce,41,196,9964,4019.3,5944.7,0.403382176,20.50663265,30.33010204
Vietnam,Key Accounts,57,242,15796,4018.82,11777.18,0.254420106,16.60669421,48.66603306
Sweden,E-Commerce,25,124,7469,4007.3,3461.7,0.5365243,32.31693548,27.91693548
Portugal,Key Accounts,20,106,7963,3981.5,3981.5,0.5,37.56132075,37.56132075
Myanmar (Burma),Retail,56,237,15024,3904.48,11119.52,0.259882854,16.47459916,46.91780591
Argentina,E-Commerce,55,252,9169,3857.57,5311.43,0.420718726,15.30781746,21.07710317
Myanmar (Burma),Key Accounts,39,185,12574,3587.58,8986.42,0.285317321,19.39232432,48.57524324
Portugal,Retail,34,178,7074,3537,3537,0.5,19.87078652,19.87078652
Panama,E-Commerce,64,246,8026,3515.67,4510.33,0.438035136,14.29134146,18.3346748
New Zealand,E-Commerce,101,399,42206,3457.6,38748.4,0.081922002,8.66566416,97.11378446
India,Retail,582,3020,299380,3386.5,295993.5,0.011311711,1.121357616,98.01109272
Venezuela,Key Accounts,39,211,7608,3307.81,4300.19,0.434780494,15.67682464,20.38004739
Denmark,Retail,38,168,6473,3262.9,3210.1,0.50407848,19.42202381,19.1077381
United Kingdom,E-Commerce,236,1144,91927,3164.9,88762.1,0.034428405,2.766520979,77.58924825
Haiti,Retail,41,221,7149,3034.36,4114.64,0.424445377,13.73013575,18.61828054
Spain,E-Commerce,125,598,45600,2642.3,42957.7,0.057945175,4.418561873,71.83561873
Lithuania,Key Accounts,17,42,3639,2547.3,1091.7,0.7,60.65,25.99285714
El Salvador,Retail,312,1450,106007,2467.33,103539.67,0.023275161,1.701606897,71.40666897
Venezuela,E-Commerce,29,159,4858,2294.92,2563.08,0.472400165,14.43345912,16.12
Kazakhstan,Retail,44,129,3031,2121.7,909.3,0.7,16.44728682,7.048837209
South Korea,Key Accounts,28,120,4411,1992.5,2418.5,0.45171163,16.60416667,20.15416667
Lithuania,Retail,22,83,2794,1955.8,838.2,0.7,23.56385542,10.09879518
Peru,Key Accounts,38,166,4684,1930,2754,0.412040991,11.62650602,16.59036145
Japan,Retail,107,512,46910,1887.2,45022.8,0.040230228,3.6859375,87.93515625
Ireland,E-Commerce,17,70,3587,1793.5,1793.5,0.5,25.62142857,25.62142857
Ireland,Key Accounts,19,81,3184,1604.7,1579.3,0.503988693,19.81111111,19.49753086
Myanmar (Burma),E-Commerce,18,67,6546,1494.32,5051.68,0.228279866,22.30328358,75.39820896
Haiti,Key Accounts,32,130,2924,1263.62,1660.38,0.432154583,9.720153846,12.77215385
India,E-Commerce,247,1144,122320,1190,121130,0.009728581,1.04020979,105.8828671
Peru,E-Commerce,24,97,2597,1151.3,1445.7,0.443319214,11.86907216,14.90412371
Turkmenistan,Retail,15,40,1458,1020.6,437.4,0.7,25.515,10.935
Denmark,Key Accounts,13,44,2018,1016,1002,0.503468781,23.09090909,22.77272727
Nicaragua,Retail,234,1098,73099,991.99,72107.01,0.0135705,0.90345173,65.67122951
Zimbabwe,E-Commerce,20,58,1311,917.7,393.3,0.7,15.82241379,6.781034483
India,Key Accounts,357,1594,167964,911,167053,0.005423781,0.571518193,104.8011292
Zimbabwe,Key Accounts,25,71,1268,887.6,380.4,0.7,12.50140845,5.357746479
Japan,Key Accounts,65,356,37664,887.4,36776.6,0.02356096,2.492696629,103.3050562
Guatemala,Key Accounts,114,520,34028,861.66,33166.34,0.025322088,1.657038462,63.78142308
Zimbabwe,Retail,23,61,1188,831.6,356.4,0.7,13.63278689,5.842622951
Yemen,Retail,21,41,1179,825.3,353.7,0.7,20.12926829,8.626829268
Kazakhstan,Key Accounts,24,52,1130,791,339,0.7,15.21153846,6.519230769
Guatemala,Retail,230,961,68966,766.75,68199.25,0.011117797,0.797866805,70.9669615
Syria,Key Accounts,8,12,2614,661.6,1952.4,0.253098699,55.13333333,162.7
Tanzania,Retail,54,153,16687,660.9,16026.1,0.039605681,4.319607843,104.7457516
Yemen,Key Accounts,5,24,930,651,279,0.7,27.125,11.625
Colombia,Key Accounts,87,320,17892,640.69,17251.31,0.035808741,2.00215625,53.91034375
El Salvador,E-Commerce,103,446,23168,622.44,22545.56,0.026866367,1.395605381,50.55058296
Japan,E-Commerce,34,128,16215,614,15601,0.037866173,4.796875,121.8828125
Uganda,Retail,15,31,732,512.4,219.6,0.7,16.52903226,7.083870968
Colombia,Retail,153,708,46553,506.59,46046.41,0.010882005,0.715522599,65.03730226
United Arab Emirates,Retail,10,34,718,502.6,215.4,0.7,14.78235294,6.335294118
Papua New Guinea,Key Accounts,9,31,2183,498.1,1684.9,0.22817224,16.06774194,54.3516129
Ecuador,E-Commerce,6,38,4319,459.35,3859.65,0.106355638,12.08815789,101.5697368
Haiti,E-Commerce,10,41,963,422.31,540.69,0.438535826,10.3002439,13.18756098
Uruguay,Retail,15,71,9405,387,9018,0.041148325,5.450704225,127.0140845
Uganda,E-Commerce,9,19,457,319.9,137.1,0.7,16.83684211,7.215789474
Kazakhstan,E-Commerce,13,28,441,308.7,132.3,0.7,11.025,4.725
Uganda,Key Accounts,7,13,436,305.2,130.8,0.7,23.47692308,10.06153846
Syria,Retail,11,31,1785,287.6,1497.4,0.161120448,9.277419355,48.30322581
Bolivia,E-Commerce,12,53,3975,278.59,3696.41,0.070085535,5.256415094,69.74358491
El Salvador,Key Accounts,174,838,48390,275.7,48114.3,0.005697458,0.328997613,57.41563246
Tanzania,Key Accounts,42,129,7590,272.8,7317.2,0.035942029,2.114728682,56.72248062
Papua New Guinea,Retail,8,28,594,261.9,332.1,0.440909091,9.353571429,11.86071429
Turkmenistan,E-Commerce,4,9,355,248.5,106.5,0.7,27.61111111,11.83333333
Yemen,E-Commerce,1,6,355,248.5,106.5,0.7,41.41666667,17.75
Guatemala,E-Commerce,92,439,28615,222.85,28392.15,0.007787873,0.507630979,64.67460137
Lithuania,E-Commerce,4,18,290,203,87,0.7,11.27777778,4.833333333
Tajikistan,Retail,3,14,242,169.4,72.6,0.7,12.1,5.185714286
Turkmenistan,Key Accounts,6,9,216,151.2,64.8,0.7,16.8,7.2
Tanzania,E-Commerce,25,60,2539,133.2,2405.8,0.052461599,2.22,40.09666667
Ecuador,Key Accounts,16,60,3136,129.6,3006.4,0.041326531,2.16,50.10666667
Trinidad and Tobago,E-Commerce,8,34,2912,104.19,2807.81,0.035779533,3.064411765,82.58264706
Chile,Retail,77,305,18078,101.77,17976.23,0.005629494,0.333672131,58.93845902
Denmark,E-Commerce,3,8,152,76,76,0.5,9.5,9.5
Papua New Guinea,E-Commerce,3,17,151,75.5,75.5,0.5,4.441176471,4.441176471
Ecuador,Retail,24,100,5889,72.03,5816.97,0.012231279,0.7203,58.1697
Syria,E-Commerce,8,15,910,71.6,838.4,0.078681319,4.773333333,55.89333333
Trinidad and Tobago,Retail,8,30,1756,38.5,1717.5,0.021924829,1.283333333,57.25
Nicaragua,Key Accounts,165,751,46775,36.39,46738.61,7.78E-04,0.048455393,62.23516644
Portugal,E-Commerce,1,2,69,34.5,34.5,0.5,17.25,17.25
Trinidad and Tobago,Key Accounts,11,56,2212,32.5,2179.5,0.014692586,0.580357143,38.91964286
Cuba,Retail,274,1366,83616,28.42,83587.58,3.40E-04,0.020805271,61.19149341
Cuba,Key Accounts,196,861,53309,24.48,53284.52,4.59E-04,0.028432056,61.88678281
Mongolia,Retail,5,14,184,20,164,0.108695652,1.428571429,11.71428571
United Arab Emirates,Key Accounts,2,3,24,16.8,7.2,0.7,5.6,2.4
Nicaragua,E-Commerce,89,386,29820,13.12,29806.88,4.40E-04,0.033989637,77.21989637
Chile,E-Commerce,23,105,7093,6.26,7086.74,8.83E-04,0.059619048,67.4927619
