operating_country,channel_name,pmi_product_family,brand_tier,wholesaler_tier,weeks,shipments_units,avg_price_realization,avg_list_price,avg_net_price,avg_leakage_per_unit
South Korea,Key Accounts,Oral Nicotine,Core,T1,1,7,0.2,320,64,256
Lithuania,E-Commerce,Oral Nicotine,Core,T3,1,6,0.299999242,52.7778,15.8333,36.9445
Tajikistan,Retail,Heated Tobacco,Core,T2,1,12,0.299999387,65.2778,19.5833,45.6945
Yemen,Key Accounts,Heated Tobacco,Core,T1,1,6,0.299999596,49.4444,14.8333,34.6111
Lithuania,E-Commerce,Cigarettes,Core,T3,1,7,0.299999645,44.28567143,13.28568571,30.99998571
Uganda,Retail,Oral Nicotine,Value,T2,1,6,0.299999674,122.7778,36.8333,85.9445
Trinidad and Tobago,Key Accounts,Heated Tobacco,Value,T1,1,4,0.299999727,36.6667,11,25.6667
Uganda,E-Commerce,Cigarettes,Value,T3,1,5,0.299999727,22.00002,6.6,15.40002
Lithuania,Retail,Oral Nicotine,Premium,T2,1,2,0.29999976,41.6667,12.5,29.1667
Kazakhstan,E-Commerce,Oral Nicotine,Value,T3,1,1,0.299999786,46.6667,14,32.6667
Turkmenistan,E-Commerce,Cigarettes,Core,T3,1,1,0.299999786,46.6667,14,32.6667
Trinidad and Tobago,E-Commerce,Heated Tobacco,Premium,T3,1,3,0.299999878,164.4444,49.3333,115.1111
Yemen,Key Accounts,Cigarettes,Core,T1,1,3,0.299999897,32.22223333,9.666666667,22.55556667
Uganda,Key Accounts,Heated Tobacco,Premium,T1,1,2,0.299999921,126.6667,38,88.6667
Uganda,E-Commerce,Oral Nicotine,Value,T3,1,2,0.299999932,146.6667,44,102.6667
Zimbabwe,E-Commerce,Oral Nicotine,Core,T3,1,14,0.299999933,149.2857,44.7857,104.5
Lithuania,Key Accounts,Oral Nicotine,Core,T1,1,2,0.29999994,166.6667,50,116.6667
Uganda,Retail,Heated Tobacco,Core,T2,1,1,0.29999994,166.6667,50,116.6667
Zimbabwe,Retail,Oral Nicotine,Core,T2,1,1,0.29999994,166.6667,50,116.6667
Uganda,Key Accounts,Oral Nicotine,Premium,T1,1,1,0.299999943,176.6667,53,123.6667
Turkmenistan,Key Accounts,Heated Tobacco,Premium,T1,1,1,0.299999963,266.6667,80,186.6667
Turkmenistan,Key Accounts,Heated Tobacco,Value,T1,1,1,0.299999963,266.6667,80,186.6667
Kazakhstan,Key Accounts,Oral Nicotine,Premium,T1,1,2,0.299999966,148.33335,44.5,103.83335
Lithuania,E-Commerce,Heated Tobacco,Premium,T3,1,1,0.299999966,296.6667,89,207.6667
United Arab Emirates,Retail,Cigarettes,Premium,T2,1,2,0.29999997,168.33335,50.5,117.83335
Yemen,Retail,Heated Tobacco,Core,T2,1,2,0.299999972,356.6667,107,249.6667
Uganda,Key Accounts,Oral Nicotine,Value,T1,1,1,0.299999977,436.6667,131,305.6667
Lithuania,Key Accounts,Heated Tobacco,Core,T1,1,1,0.3,170,51,119
Lithuania,Key Accounts,Oral Nicotine,Premium,T1,1,1,0.3,460,138,322
Lithuania,Retail,Oral Nicotine,Core,T2,1,1,0.3,470,141,329
Tajikistan,Retail,Cigarettes,Core,T2,1,1,0.3,10,3,7
Turkmenistan,E-Commerce,Cigarettes,Premium,T3,1,1,0.3,50,15,35
Turkmenistan,Key Accounts,Cigarettes,Core,T1,1,4,0.3,17.5,5.25,12.25
Turkmenistan,Key Accounts,Cigarettes,Value,T1,1,1,0.3,10,3,7
Turkmenistan,Retail,Heated Tobacco,Premium,T2,1,1,0.3,120,36,84
Uganda,E-Commerce,Cigarettes,Core,T3,1,2,0.3,50,15,35
Uganda,Key Accounts,Cigarettes,Value,T1,1,2,0.3,30,9,21
