shipment_fact_id,date_week_id,country_id.x,region_id,product_id,wholesaler_id,channel_id,shipment_volume,sell_in_revenue,trade_incentive_pct,contribution_margin_proxy,list_price,net_invoice_price,price_change_flag,price_strategy,incentive_type,incentive_pct,incentive_amount,compliance_flag,product_variant_name,pmi_product_family,pmi_product_category,brand_tier,pack_size,nicotine_format,operating_country,macro_region,channel_name,fiscal_year,fiscal_week,fiscal_quarter,month,week_start_date,week_end_date,wholesaler_name,wholesaler_tier,country_id.y,primary_channel_id,net_unit_price,list_unit_price,discount_rate,trade_spend_amount,price_realization_pct,revenue_net_of_trade
1,201102,64,1,OFF-PA-10002005,385,1,3,19,0,9.33,6.3333,6.3333,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-849927,Cigarettes,Combustible,Premium,30-pack,Combustible,United States,US,Retail,2011,2,1,1,2011-01-10,2011-01-16,WH-United States-Retail-2602,T2,64,1,6.3333,6.3333,0,0,1,19
2,201104,64,1,OFF-PA-10002893,385,1,2,19,0,9.29,9.5,9.5,0,Value Drive,Price Support,0,0,1,CIG-VAR-318797,Cigarettes,Combustible,Value,30-pack,Combustible,United States,US,Retail,2011,4,1,1,2011-01-24,2011-01-30,WH-United States-Retail-2602,T2,64,1,9.5,9.5,0,0,1,19
3,201132,64,1,OFF-PA-10000659,385,1,3,21,0,9.84,7,7,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-202870,Cigarettes,Combustible,Core,20-pack,Combustible,United States,US,Retail,2011,32,3,8,2011-08-08,2011-08-14,WH-United States-Retail-2602,T2,64,1,7,7,0,0,1,21
4,201132,64,1,OFF-PA-10001144,385,1,2,111,0,53.26,55.5,55.5,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-059454,Cigarettes,Combustible,Premium,20-pack,Combustible,United States,US,Retail,2011,32,3,8,2011-08-08,2011-08-14,WH-United States-Retail-2602,T2,64,1,55.5,55.5,0,0,1,111
5,201140,64,1,OFF-PA-10002105,385,1,1,6,0,3.11,6,6,0,Value Drive,Price Support,0,0,1,CIG-VAR-308447,Cigarettes,Combustible,Value,20-pack,Combustible,United States,US,Retail,2011,40,4,10,2011-10-03,2011-10-09,WH-United States-Retail-2602,T2,64,1,6,6,0,0,1,6
6,201143,64,1,OFF-PA-10004519,385,1,3,13,0,6.59,4.3333,4.3333,0,Value Drive,Price Support,0,0,1,CIG-VAR-005648,Cigarettes,Combustible,Value,Multi-pack,Combustible,United States,US,Retail,2011,43,4,10,2011-10-24,2011-10-30,WH-United States-Retail-2602,T2,64,1,4.3333,4.3333,0,0,1,13
7,201145,64,1,OFF-PA-10000223,385,1,3,19,0,9.33,6.3333,6.3333,0,Value Drive,Price Support,0,0,1,CIG-VAR-935540,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Retail,2011,45,4,11,2011-11-07,2011-11-13,WH-United States-Retail-2602,T2,64,1,6.3333,6.3333,0,0,1,19
8,201146,64,1,OFF-PA-10001947,385,1,2,12,0,5.86,6,6,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-734299,Cigarettes,Combustible,Core,Multi-pack,Combustible,United States,US,Retail,2011,46,4,11,2011-11-14,2011-11-20,WH-United States-Retail-2602,T2,64,1,6,6,0,0,1,12
9,201148,64,1,OFF-PA-10002245,385,1,9,54,0,24.22,6,6,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-289827,Cigarettes,Combustible,Premium,10-pack,Combustible,United States,US,Retail,2011,48,4,11,2011-11-28,2011-12-04,WH-United States-Retail-2602,T2,64,1,6,6,0,0,1,54
10,201150,64,1,OFF-PA-10001363,385,1,4,49,0,23.09,12.25,12.25,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-245500,Cigarettes,Combustible,Core,30-pack,Combustible,United States,US,Retail,2011,50,4,12,2011-12-12,2011-12-18,WH-United States-Retail-2602,T2,64,1,12.25,12.25,0,0,1,49
11,201151,64,1,OFF-PA-10001457,385,1,6,90,0,41.51,15,15,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-565096,Cigarettes,Combustible,Core,20-pack,Combustible,United States,US,Retail,2011,51,4,12,2011-12-19,2011-12-25,WH-United States-Retail-2602,T2,64,1,15,15,0,0,1,90
12,201207,64,1,OFF-PA-10004285,385,1,2,13,0,6.41,6.5,6.5,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-468583,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2012,7,1,2,2012-02-13,2012-02-19,WH-United States-Retail-2602,T2,64,1,6.5,6.5,0,0,1,13
13,201207,64,1,OFF-PA-10000477,385,1,3,19,0,9.33,6.3333,6.3333,0,Value Drive,Price Support,0,0,1,CIG-VAR-605657,Cigarettes,Combustible,Value,30-pack,Combustible,United States,US,Retail,2012,7,1,2,2012-02-13,2012-02-19,WH-United States-Retail-2602,T2,64,1,6.3333,6.3333,0,0,1,19
14,201207,64,1,OFF-PA-10001970,385,1,3,37,0,17.31,12.3333,12.3333,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-861546,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2012,7,1,2,2012-02-13,2012-02-19,WH-United States-Retail-2602,T2,64,1,12.3333,12.3333,0,0,1,37
15,201213,64,1,OFF-PA-10000743,385,1,5,33,0,16.03,6.6,6.6,0,Value Drive,Price Support,0,0,1,CIG-VAR-236309,Cigarettes,Combustible,Value,20-pack,Combustible,United States,US,Retail,2012,13,1,3,2012-03-26,2012-04-01,WH-United States-Retail-2602,T2,64,1,6.6,6.6,0,0,1,33
